id_restaurant,place_name,address,latitude,longitude,cluster
70,Gudeg Balap Jogja,"Jl. Kadipaten Kidul No.32, Kadipaten, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55132, Indonesia",-7.808532,110.357844,2
71,Gudeg Jogja,"Jl. Panembahan Senopati, Prawirodirjan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55121, Indonesia",-7.8019,110.368725,2
72,Gudeg mBok Joyo,"Jl. Tamanan No.265, Patehan, Kecamatan Kraton, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55131, Indonesia",-7.809511,110.360826,2
73,Gudeg Permata Bu Narti,"Jl. Gajah Mada No.2, Gunungketur, Pakualaman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55111, Indonesia",-7.801186,110.373178,2
74,"Sate Klathak dan Bakmi Jowo Pak Jede, Nologaten","Jl. Nologaten No.46, Nologaten, Condongcatur, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55283, Indonesia",-7.77382,110.400832,2
75,Sate Klathak Pak Pong,"Jl. Sultan Agung No.18, Jejeran II, Wonokromo, Kec. Pleret, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55791, Indonesia",-7.871461,110.387427,2
76,Sate Klathak Wirosaban (Spesial Hotplate),"Jl. Wirosaban Barat No.02, Sorosutan, Kec. Umbulharjo, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55162, Indonesia",-7.825445,110.375794,2
77,Sate Klathak Mak Adi,"Jl. Imogiri Tim. No.KM 9, Jati, Wonokromo, Kec. Pleret, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55791, Indonesia",-7.865437,110.389924,2
78,"Oseng Mercon 62, ?????????????????","Jl. KH. Ahmad Dahlan No.62, Ngampilan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55261, Indonesia",-7.801128,110.36018,2
79,Oseng Mercon,"Jl. Maguwo No.640, Karang Janbe, Banguntapan, Kec. Banguntapan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55198, Indonesia",-7.798555,110.41008,2
80,Oseng Oseng Mercon Bu Titik,"Jl. KH. Ahmad Dahlan No.10, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122, Indonesia",-7.801186,110.362789,2
81,"Oseng Oseng Mercon Bu Ria, ??????????????????????","Jl. KH. Ahmad Dahlan No.46, Ngampilan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122, Indonesia",-7.801154,110.361383,2
82,Bakpia Pathok 25 Pathok Jaya,"Jl. Karel Sasuit Tubun No.12-14, Ngampilan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55261, Indonesia",-7.797471,110.361295,2
83,BAKPIA PATHOK,"Jl. KH. Ahmad Dahlan No.25, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122, Indonesia",-7.80124,110.363546,2
84,bakpia pathok 25 online delivery,"Ngampilan, Yogyakarta City, Special Region of Yogyakarta 55261, Indonesia",-7.79746,110.35784,2
85,BAKPIA PATHOK 25 AHMAD DAHLAN,"Jl. KH. Ahmad Dahlan, Notoprajan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122, Indonesia",-7.801245,110.363531,2
86,Sate kere,"Jl. Bantul, Gedongkiwo, Kec. Mantrijeron, Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia",-7.822596,110.355123,2
87,Sate Kere Bu Sudinem,"Ngupasan, Gondomanan, Yogyakarta City, Special Region of Yogyakarta 55122, Indonesia",-7.799038,110.365265,2
88,Sate Kere Daging Sapi Bu Suwarni,"Jl. Pabringan No.16, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122, Indonesia",-7.799098,110.365953,2
89,Sate Kere Beringharjo,"Jl. Margo Mulyo, Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122, Indonesia",-7.799033,110.365224,2
90,Sego Krecek Giwangan,"Giwangan, Umbulharjo, Yogyakarta City, Special Region of Yogyakarta 55163, Indonesia",-7.833174,110.388035,2
91,Krecek Jogja,"Guyangan, Wonolelo, Kec. Pleret, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55791, Indonesia",-7.884261,110.432393,2
92,"Krecek Sayur dan Rambak Asin Cap ""Bintang""","Segoroyoso I, Segoroyoso, Pleret, Bantul Regency, Special Region of Yogyakarta 55791, Indonesia",-7.881377,110.411591,2
93,Grosir Rambak Dan Krecek Jogja (Produsen),"Village Inn, Jl. Menukan Jl. Karangkajen No.5, Brontokusuman, Mergangsan, Yogyakarta City, Special Region of Yogyakarta 55153, Indonesia",-7.824369,110.370339,2
94,Thiwul Ayu Mbok Sum,"Jalan Mangunan KM.4.5, RT.15, Mangunan, Dlingo, Cempluk, Mangunan, Kec. Dlingo, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55783, Indonesia",-7.930959,110.424714,2
